RESPID,EDUCATION,EDUCATION_TEXT,CARBONTAX,CLEANENERGY,CLEANELEC,MEDICAREALL,PUBLICOPTION,IMMIGRATION,FAMILYLEAVE,WEALTHTAX,DEPORTATIONS,MEDICVOUCHER,CARBONTAX_LLM,CLEANENERGY_LLM,CLEANELEC_LLM,MEDICAREALL_LLM,PUBLICOPTION_LLM,IMMIGRATION_LLM,FAMILYLEAVE_LLM,WEALTHTAX_LLM,DEPORTATIONS_LLM,MEDICVOUCHER_LLM
pid_43,3,"Some college, no degree",1,1,5,5,5,5,5,5,1,5,4,4,4,2,4,4,4,4,2,2
pid_44,3,"Some college, no degree",3,4,4,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,1,1
pid_45,3,"Some college, no degree",3,4,4,4,4,4,4,4,4,4,2,4,4,1,2,2,2,1,5,4
pid_46,5,College graduate/some postgrad,5,4,4,5,4,4,5,5,2,2,1,2,1,1,4,1,1,1,5,4
pid_47,5,College graduate/some postgrad,5,5,5,5,5,5,5,5,2,2,1,2,1,1,1,1,2,1,5,5
pid_48,5,College graduate/some postgrad,4,3,4,5,5,3,3,3,3,3,2,4,4,2,4,4,2,2,4,4
pid_49,2,High school graduate,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,2,2
pid_50,3,Associate's degree,1,5,2,4,5,1,4,4,5,5,5,5,4,5,5,5,5,5,1,1
pid_51,2,High school graduate,5,5,5,4,5,5,5,5,1,5,4,5,4,4,4,4,4,4,2,2
pid_52,5,College graduate/some postgrad,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,1
pid_53,5,College graduate/some postgrad,5,4,5,5,3,5,5,5,1,3,4,5,4,4,5,4,4,4,2,1
pid_54,3,"Some college, no degree",5,2,4,3,5,5,3,4,2,2,1,2,2,1,4,2,2,1,5,4
pid_55,5,College graduate/some postgrad,4,4,5,5,5,4,5,5,1,3,5,5,5,5,5,5,5,5,1,1
pid_56,2,High school graduate,4,5,5,5,5,4,5,5,3,5,1,4,2,1,2,2,2,2,5,2
pid_57,5,Postgraduate,4,4,5,5,3,4,5,5,3,2,5,5,4,5,5,5,5,5,1,1
pid_58,3,Associate's degree,2,2,1,1,3,1,4,3,5,4,4,5,4,4,5,4,5,4,2,1
pid_59,5,College graduate/some postgrad,5,5,5,4,4,5,5,5,2,4,2,4,2,1,2,4,2,2,4,4
pid_60,2,High school graduate,4,4,4,5,4,3,5,4,4,4,2,4,2,2,2,4,4,1,4,4
pid_61,5,College graduate/some postgrad,2,3,2,1,5,2,3,4,5,5,4,4,4,2,4,4,4,1,4,4
pid_62,3,"Some college, no degree",2,4,5,5,4,1,3,5,5,2,4,5,4,4,4,4,4,4,2,2
pid_63,3,"Some college, no degree",5,4,5,5,5,5,5,4,2,5,1,1,1,1,1,1,1,1,5,4
pid_64,2,High school graduate,2,3,2,4,3,3,3,4,4,4,2,4,4,4,4,4,4,4,2,1
pid_65,3,"Some college, no degree",2,3,4,4,5,1,5,4,1,3,5,5,5,5,5,5,5,5,1,1
pid_66,5,College graduate/some postgrad,5,4,4,4,2,3,4,3,3,4,4,4,4,4,4,4,4,4,2,2
pid_67,3,"Some college, no degree",4,4,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,1,1
pid_68,5,College graduate/some postgrad,3,4,3,5,3,3,5,5,2,5,5,5,5,5,5,5,5,5,1,1
pid_69,5,College graduate/some postgrad,4,4,4,5,4,4,5,4,2,4,2,2,2,1,2,2,2,1,5,4
pid_70,3,"Some college, no degree",4,3,4,2,4,4,4,5,4,4,5,5,5,5,5,5,5,5,1,1
pid_71,5,College graduate/some postgrad,4,5,4,5,2,4,5,4,3,4,4,5,4,5,4,5,5,4,2,1
pid_72,3,"Some college, no degree",4,3,4,4,5,4,4,5,2,3,4,4,4,2,4,4,4,4,4,4
pid_73,3,Associate's degree,3,4,4,5,5,1,4,5,5,5,4,5,5,5,5,4,5,5,2,1
pid_74,3,Associate's degree,5,4,5,5,5,5,5,5,3,5,2,4,4,5,4,4,4,4,2,1
pid_75,2,High school graduate,5,5,5,5,5,5,5,5,1,2,4,5,4,4,5,4,5,4,2,1
pid_76,3,"Some college, no degree",4,5,5,5,5,5,5,5,2,2,1,2,1,1,1,1,2,1,5,5
pid_77,2,High school graduate,4,4,4,5,4,4,5,5,2,3,2,4,2,4,4,2,4,5,4,1
pid_78,3,Associate's degree,1,3,1,3,3,1,5,5,5,4,1,2,1,1,1,1,2,1,5,5
pid_79,3,Associate's degree,5,5,5,5,4,5,5,5,1,3,4,4,4,4,4,4,4,4,2,2
pid_80,5,College graduate/some postgrad,4,5,5,5,4,2,5,4,3,1,1,2,1,1,2,1,1,1,5,5
pid_81,5,College graduate/some postgrad,4,5,4,4,4,4,3,5,2,5,5,5,5,5,5,5,5,5,1,1
pid_82,5,College graduate/some postgrad,5,1,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,1,1
pid_83,3,Associate's degree,5,1,5,5,4,4,4,5,5,2,4,4,4,4,4,4,4,4,4,2
pid_84,3,"Some college, no degree",2,3,4,5,4,5,5,5,3,4,4,5,5,5,5,5,5,5,1,1
pid_85,5,College graduate/some postgrad,4,5,4,5,4,4,2,3,5,4,2,4,2,1,4,4,4,2,4,4
pid_86,2,High school graduate,4,5,4,5,5,5,5,5,2,5,1,2,1,1,2,1,2,1,5,5
pid_87,3,"Some college, no degree",1,4,2,5,5,4,4,4,4,1,5,5,5,5,5,5,5,5,1,1
pid_88,5,College graduate/some postgrad,4,3,3,4,4,3,4,3,3,3,2,2,2,2,4,2,4,1,4,4
pid_89,3,Associate's degree,5,5,5,5,5,5,5,5,1,1,4,5,5,5,5,5,5,5,1,1
pid_90,5,College graduate/some postgrad,3,5,4,5,5,4,5,3,4,5,5,5,5,5,5,5,5,5,1,1
pid_91,5,College graduate/some postgrad,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,1,1
pid_92,3,"Some college, no degree",4,4,4,4,5,5,4,5,2,3,2,2,2,2,4,2,4,2,4,4
pid_93,3,Associate's degree,4,5,4,5,3,4,5,5,4,1,5,5,5,4,5,5,5,5,1,1
pid_94,5,College graduate/some postgrad,1,1,1,3,3,1,1,2,5,2,4,4,4,4,4,4,4,4,2,2
pid_95,5,Postgraduate,5,4,5,5,5,5,5,5,1,4,4,4,4,2,2,2,4,2,5,4
pid_96,3,"Some college, no degree",5,4,4,5,4,5,3,5,3,1,2,5,4,4,4,5,5,4,2,1
pid_97,5,Postgraduate,5,5,5,4,4,4,5,5,2,4,5,5,5,4,5,5,5,5,1,1
pid_98,5,College graduate/some postgrad,1,1,1,1,4,1,5,1,5,5,5,5,5,5,5,5,5,5,1,1
pid_99,3,Associate's degree,3,2,2,2,4,4,4,4,5,4,2,4,2,4,4,4,4,4,4,2
pid_100,5,Postgraduate,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,1,1
pid_101,2,High school graduate,2,3,1,2,4,3,4,3,4,3,4,5,4,5,5,5,5,5,1,1
pid_102,5,College graduate/some postgrad,4,4,4,5,5,4,5,5,3,5,4,5,4,1,1,4,2,1,5,5
pid_103,5,College graduate/some postgrad,3,2,2,3,5,3,5,5,3,5,4,5,4,1,1,2,4,1,5,5
pid_104,3,Associate's degree,4,4,5,3,2,4,4,3,5,4,2,4,2,2,2,2,4,2,4,4
pid_105,2,High school graduate,5,5,5,5,5,5,5,5,1,4,2,4,2,4,5,4,4,4,2,1
pid_106,5,College graduate/some postgrad,4,4,4,4,4,4,4,4,2,4,5,5,5,5,5,5,5,5,1,1
pid_107,5,College graduate/some postgrad,4,2,3,4,4,1,3,4,5,2,1,1,1,1,2,1,1,1,5,5
pid_108,5,College graduate/some postgrad,5,4,4,5,4,5,5,4,2,3,2,4,4,4,4,4,4,4,2,2
pid_109,5,College graduate/some postgrad,5,5,5,5,4,5,5,5,1,3,4,4,4,2,4,4,4,2,4,2
pid_110,5,College graduate/some postgrad,5,4,5,5,4,5,5,5,3,3,1,2,2,1,1,1,2,1,5,5
pid_111,2,High school graduate,4,3,4,3,4,5,4,4,3,4,2,4,2,1,2,2,2,1,4,5
pid_112,5,College graduate/some postgrad,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,1
pid_113,5,Postgraduate,4,4,3,3,5,4,4,4,3,4,5,5,5,5,5,5,5,5,1,1
pid_114,5,College graduate/some postgrad,4,4,4,3,4,4,4,2,2,2,5,5,5,5,5,5,5,5,1,1
pid_115,5,College graduate/some postgrad,3,5,3,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,1,1
pid_116,5,College graduate/some postgrad,2,4,4,4,5,2,4,4,5,4,4,5,4,5,5,5,5,5,1,1
pid_117,2,High school graduate,2,5,3,5,5,4,5,5,4,5,4,5,4,5,5,4,4,5,1,1
pid_118,5,Postgraduate,3,4,3,1,4,4,4,3,5,4,2,4,2,4,4,4,4,4,2,1
pid_119,3,"Some college, no degree",1,1,1,1,3,2,2,1,5,4,2,5,4,2,4,4,4,1,4,2
pid_120,3,Associate's degree,5,4,4,5,5,5,5,3,5,4,1,2,1,1,2,2,2,1,5,2
pid_121,3,Associate's degree,1,1,1,1,3,1,1,1,5,3,1,2,2,2,2,2,2,1,4,4
pid_122,3,Associate's degree,5,5,5,5,5,5,5,5,1,5,4,5,4,4,4,4,4,5,2,1
pid_123,3,"Some college, no degree",1,3,4,1,4,5,5,1,1,4,4,4,4,2,2,2,2,1,5,4
pid_124,5,College graduate/some postgrad,3,3,4,5,3,4,4,1,4,4,4,4,4,5,5,5,5,5,1,1
pid_125,5,College graduate/some postgrad,1,1,1,1,5,1,4,3,5,3,2,2,2,1,2,2,2,1,5,5
pid_126,5,Postgraduate,3,4,5,4,3,2,3,4,3,3,4,5,4,4,4,4,5,4,2,2
pid_127,3,Associate's degree,4,3,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4
pid_128,5,Postgraduate,1,2,1,1,1,1,5,1,5,5,2,4,2,2,2,2,4,2,4,4
pid_129,3,Associate's degree,4,4,5,5,5,5,5,5,3,4,4,5,5,5,5,5,5,5,1,1
pid_130,5,College graduate/some postgrad,5,3,4,5,5,5,5,5,2,5,4,4,4,4,4,4,4,4,2,2
pid_131,5,College graduate/some postgrad,1,3,1,1,3,1,4,1,5,5,1,2,2,1,2,2,2,2,5,5
pid_132,2,High school graduate,2,1,4,5,4,5,3,4,1,1,1,2,2,1,2,1,2,1,5,5
pid_133,5,College graduate/some postgrad,1,5,1,1,4,5,5,5,4,5,4,5,4,4,5,4,5,5,1,1
pid_134,5,College graduate/some postgrad,4,5,5,5,4,5,5,5,1,1,4,5,5,5,5,5,5,5,1,1
pid_135,5,Postgraduate,2,3,4,3,3,4,2,2,3,2,5,5,5,5,5,5,5,5,1,1
pid_136,3,"Some college, no degree",5,4,5,5,5,1,1,5,5,5,2,4,4,2,4,4,4,4,4,4
pid_137,3,"Some college, no degree",1,4,2,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,1,1
pid_138,2,High school graduate,4,5,4,5,5,4,4,5,3,5,4,5,5,5,5,5,5,5,1,1
pid_139,2,High school graduate,5,4,5,4,5,5,4,5,2,3,1,4,1,1,2,4,4,1,5,5
pid_140,5,Postgraduate,4,5,5,4,5,5,5,5,1,4,4,5,4,2,2,4,4,1,4,4
pid_141,3,"Some college, no degree",4,3,4,5,4,5,5,5,1,3,4,5,5,4,5,5,5,5,1,1
pid_142,3,"Some college, no degree",4,5,5,5,5,3,5,5,5,5,1,4,2,4,5,4,5,4,2,1
pid_143,5,College graduate/some postgrad,2,2,2,2,4,2,3,2,5,5,5,5,5,5,5,5,5,5,1,1
pid_144,5,College graduate/some postgrad,3,4,2,1,1,1,3,4,5,3,4,4,4,2,4,4,2,2,4,4
pid_145,3,Associate's degree,4,3,3,2,4,4,3,3,4,3,4,5,4,4,5,5,5,4,1,2
pid_146,5,College graduate/some postgrad,3,4,4,4,3,2,2,5,4,4,4,4,4,4,4,4,4,4,2,2
pid_147,5,College graduate/some postgrad,2,3,4,1,4,1,4,1,5,4,4,4,4,2,2,4,4,1,4,4
pid_148,5,College graduate/some postgrad,5,4,3,4,4,4,4,5,5,4,2,2,2,1,2,2,2,1,5,5
pid_149,3,Associate's degree,5,4,4,5,4,4,5,5,3,5,4,5,4,5,5,5,5,5,1,1
pid_150,3,"Some college, no degree",1,1,1,1,3,2,1,1,5,3,5,5,5,5,5,5,5,5,1,1
pid_151,2,High school graduate,5,5,5,5,5,4,5,5,4,4,2,2,2,1,1,2,4,1,5,5
pid_152,2,High school graduate,5,5,5,5,5,5,5,5,2,4,1,2,1,1,2,1,2,1,5,4
pid_153,5,College graduate/some postgrad,2,4,3,4,4,1,3,5,4,5,5,5,5,5,5,5,5,5,1,1
pid_154,3,"Some college, no degree",4,4,3,4,4,3,3,4,4,3,2,4,2,2,2,2,2,1,5,5
pid_155,2,High school graduate,3,3,3,3,3,3,3,3,3,3,4,5,4,2,2,4,4,2,4,4
pid_156,3,"Some college, no degree",1,1,1,1,3,1,3,1,5,3,5,5,5,5,5,5,5,5,1,1
pid_157,3,Associate's degree,4,2,4,5,5,1,5,2,5,5,4,5,4,5,5,5,5,5,1,1
pid_158,3,Associate's degree,4,4,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,1,1
pid_159,5,Postgraduate,5,5,5,5,5,5,5,5,1,3,2,2,2,1,2,2,2,1,5,4
pid_160,3,"Some college, no degree",4,5,4,4,4,5,5,5,1,4,2,4,4,4,4,4,4,4,2,2
pid_161,5,College graduate/some postgrad,4,4,5,5,5,3,5,5,4,5,4,4,4,2,2,4,2,1,5,2
pid_162,3,Associate's degree,4,4,5,4,5,3,5,5,3,4,4,5,4,1,2,2,4,1,4,5
pid_163,5,College graduate/some postgrad,3,4,5,4,4,4,5,5,4,3,4,4,4,2,4,4,4,4,2,4
pid_164,1,Less than high school,1,4,4,5,4,1,5,2,4,4,2,4,2,4,4,4,5,4,2,1
pid_165,5,College graduate/some postgrad,3,4,4,5,5,5,5,5,1,5,1,2,1,1,1,2,2,1,5,4
pid_166,3,"Some college, no degree",1,1,1,1,1,1,1,1,5,5,2,2,2,1,1,1,1,1,5,4
pid_167,5,College graduate/some postgrad,4,3,4,2,4,3,4,4,2,5,5,5,4,4,4,4,4,4,2,2
pid_168,5,College graduate/some postgrad,5,4,3,5,5,4,5,5,2,4,1,2,1,1,1,1,2,1,5,4
pid_169,5,Postgraduate,2,5,5,4,4,4,5,5,4,4,5,5,4,4,4,4,4,4,2,2
pid_170,5,College graduate/some postgrad,4,5,5,5,4,5,5,5,1,3,2,2,2,1,2,2,2,1,5,4
pid_171,5,College graduate/some postgrad,4,4,4,4,5,2,5,5,5,1,2,4,2,4,4,4,4,4,4,2
pid_172,5,College graduate/some postgrad,3,4,2,2,4,2,4,1,5,4,2,4,2,4,4,4,5,4,2,2
pid_173,5,College graduate/some postgrad,1,3,2,3,1,4,5,5,2,1,5,5,5,5,5,5,5,5,1,1
pid_174,2,High school graduate,5,5,5,5,5,5,5,5,1,5,2,4,2,2,2,2,2,2,5,4
pid_175,5,College graduate/some postgrad,4,3,5,5,5,4,5,5,5,5,4,4,4,4,4,4,2,2,4,4
pid_176,5,College graduate/some postgrad,2,2,3,1,2,2,1,1,5,1,5,5,5,5,5,5,5,5,1,1
pid_177,3,"Some college, no degree",4,4,5,4,4,2,4,2,5,4,2,4,2,2,4,2,4,4,4,2
pid_178,3,"Some college, no degree",5,5,5,5,5,5,4,5,2,5,2,4,4,4,4,4,4,4,2,2
pid_179,5,College graduate/some postgrad,2,3,4,5,3,4,5,4,2,2,5,5,5,5,5,5,5,5,1,1
pid_180,5,College graduate/some postgrad,4,5,4,5,2,2,5,5,5,4,4,5,5,5,5,5,5,5,1,1
pid_181,3,Associate's degree,4,4,4,4,5,4,5,5,5,3,5,5,5,5,5,5,5,5,1,1
pid_182,5,College graduate/some postgrad,1,1,1,4,4,1,4,1,5,4,4,4,5,1,2,1,2,1,5,5
pid_183,5,College graduate/some postgrad,3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,2,2,2,4,4
pid_184,3,"Some college, no degree",5,3,4,5,5,5,4,5,1,5,1,4,2,2,2,4,4,2,4,4
pid_185,5,College graduate/some postgrad,3,5,5,5,5,4,5,5,3,5,4,5,4,5,5,5,5,5,1,1
pid_186,5,College graduate/some postgrad,2,4,3,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,1,1
pid_187,2,High school graduate,4,4,4,4,2,1,4,4,5,4,5,5,5,5,5,5,5,5,1,1
pid_188,3,Associate's degree,1,3,2,4,3,4,4,4,4,3,4,4,4,4,4,4,5,4,2,2
pid_189,5,College graduate/some postgrad,1,1,1,1,4,1,2,4,5,5,4,4,4,4,5,4,5,4,2,2
pid_190,5,College graduate/some postgrad,5,5,5,5,5,5,5,5,1,1,2,2,4,1,1,1,2,1,5,5
pid_191,3,Associate's degree,4,4,5,5,5,5,3,1,2,4,4,5,4,4,4,4,5,4,2,2
pid_192,5,College graduate/some postgrad,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,1,1
pid_193,2,High school graduate,4,4,5,5,4,4,5,5,2,4,2,2,2,1,1,1,2,1,5,4
pid_194,3,Associate's degree,2,2,2,2,3,1,4,2,5,3,2,4,4,4,4,4,4,4,1,1
pid_195,3,Associate's degree,1,1,1,1,3,4,3,1,5,3,5,5,5,5,5,5,5,5,1,1
pid_196,5,College graduate/some postgrad,1,3,1,5,1,4,2,2,4,3,5,5,5,5,5,5,5,5,1,1
pid_197,5,Postgraduate,5,5,5,3,5,5,5,5,4,5,4,5,4,5,5,5,5,5,1,1
pid_198,5,College graduate/some postgrad,3,4,3,4,4,5,4,3,2,3,5,5,5,5,5,5,5,5,1,1
pid_199,3,"Some college, no degree",5,5,5,5,5,4,4,3,5,1,4,4,4,5,4,4,5,4,2,2
pid_200,5,College graduate/some postgrad,4,5,4,5,5,5,5,4,1,1,1,2,2,1,1,2,2,1,5,4
pid_201,5,Postgraduate,2,2,2,2,3,4,2,2,5,3,5,5,5,5,5,5,5,5,1,1
pid_202,5,College graduate/some postgrad,4,3,4,2,3,4,4,5,4,2,2,4,4,4,5,4,4,4,1,1
pid_203,5,Postgraduate,4,3,4,5,4,4,5,5,3,5,2,4,2,1,1,2,2,1,5,4
pid_204,3,"Some college, no degree",5,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,1,1
pid_205,5,College graduate/some postgrad,3,3,4,4,4,4,5,4,1,4,2,2,2,2,4,2,4,2,4,4
pid_206,5,College graduate/some postgrad,4,5,4,5,5,5,4,5,5,5,1,1,1,1,1,1,2,1,5,5
pid_207,5,College graduate/some postgrad,5,5,5,5,5,5,5,5,4,5,2,4,2,1,2,2,4,2,4,4
pid_208,2,High school graduate,3,4,3,4,3,5,5,5,1,2,1,4,2,1,2,4,4,1,5,2
pid_209,5,Postgraduate,5,5,5,3,4,5,5,5,3,4,4,4,4,2,2,4,4,1,5,4
pid_210,5,Postgraduate,5,5,5,5,5,4,4,5,4,5,4,5,4,4,4,4,4,4,2,2
pid_211,5,Postgraduate,4,5,4,5,4,2,5,4,4,3,1,1,1,1,4,1,2,1,5,5
pid_212,5,College graduate/some postgrad,1,4,4,1,1,1,4,2,5,3,1,2,2,1,2,1,4,2,5,4
pid_213,2,High school graduate,4,5,4,4,4,4,5,5,4,4,4,5,5,5,5,5,5,5,1,1
pid_214,5,College graduate/some postgrad,4,5,4,4,4,4,4,4,1,5,4,4,4,2,4,2,4,2,4,4
pid_215,3,Associate's degree,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5,1,1
pid_216,2,High school graduate,4,4,5,2,1,2,4,3,5,5,2,4,2,2,2,2,2,1,5,5
pid_217,5,College graduate/some postgrad,3,4,4,4,4,3,4,4,4,4,1,2,1,1,1,1,1,1,5,5
pid_218,5,College graduate/some postgrad,5,5,5,5,4,5,5,5,1,3,2,4,2,2,2,4,2,2,4,5
pid_219,5,College graduate/some postgrad,4,4,5,4,4,5,3,5,2,4,4,5,5,5,5,5,5,5,1,1
pid_220,5,College graduate/some postgrad,4,4,4,3,4,3,4,4,3,3,2,2,2,1,1,1,2,1,5,5
pid_221,3,"Some college, no degree",5,5,5,5,5,5,5,5,3,5,2,2,2,1,1,1,2,1,5,5
pid_222,3,Associate's degree,2,4,3,4,4,4,3,3,3,2,2,2,2,1,4,2,4,2,4,4
pid_223,3,"Some college, no degree",3,5,4,5,5,5,5,5,3,5,4,4,4,1,2,2,2,1,5,1
pid_224,3,Associate's degree,4,4,2,3,5,5,5,2,4,5,4,4,5,5,5,5,5,5,2,1
pid_225,5,College graduate/some postgrad,1,1,1,4,5,4,4,2,3,4,5,5,5,5,5,5,5,5,1,1
pid_226,3,Associate's degree,4,5,5,5,4,4,5,5,3,3,4,5,4,2,4,4,4,4,4,4
pid_227,2,High school graduate,3,4,2,4,3,3,4,2,3,4,4,5,5,5,5,5,5,5,1,1
pid_228,2,High school graduate,2,1,1,4,4,1,2,2,5,2,1,4,1,1,4,2,4,2,5,1
pid_229,3,"Some college, no degree",4,4,5,5,3,3,5,4,5,5,5,5,5,5,5,5,5,5,1,1
pid_230,5,College graduate/some postgrad,5,4,5,5,5,5,5,5,1,1,4,4,4,4,4,4,4,4,2,2
pid_231,2,High school graduate,3,4,4,3,1,4,4,3,3,3,1,2,1,1,1,1,2,1,5,2
pid_232,3,"Some college, no degree",4,5,4,5,5,5,5,5,2,4,2,4,2,1,1,2,2,1,5,4
pid_233,5,Postgraduate,4,4,4,5,2,4,5,5,4,1,5,5,5,5,5,5,5,5,1,1
pid_234,3,"Some college, no degree",1,1,1,1,5,2,1,1,5,5,4,4,4,4,4,4,5,4,2,1
pid_235,3,Associate's degree,5,5,4,5,5,5,3,5,1,3,4,4,4,4,4,4,4,4,4,4
pid_236,5,College graduate/some postgrad,4,4,4,5,5,5,5,5,4,5,4,5,4,4,4,5,5,4,1,2
pid_237,3,Associate's degree,4,5,5,5,4,5,5,5,2,2,5,5,5,5,5,5,5,5,1,1
pid_238,5,Postgraduate,3,3,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5,1,1
pid_239,5,Postgraduate,1,3,1,2,3,1,3,3,5,3,4,5,4,4,4,4,5,4,2,1
pid_240,5,College graduate/some postgrad,5,5,5,5,4,5,5,5,1,1,2,2,2,2,4,2,2,2,4,4
pid_241,5,College graduate/some postgrad,1,5,1,5,5,5,5,5,1,5,3,4,4,4,4,4,4,4,2,2
